company_name,company_id,website,company_logo_url,parentEmployer_name,parentEmployer_ID,parentEmployer_logoURL,numberOfRatings,overallRating,ratingDescription,workLifeBalanceRating,careerOpportunitiesRating,compensationAndBenefitsRating,cultureAndValuesRating,recommendToFriendRating,seniorLeadershipRating,ceo_name,ceo_title,ceo_Photo_URL,ceo_numberOfRatings,ceo_approval_rate,review_URL,review_ID,review_pros,review_cons,review_overall,review_location,review_DateTime,review_currentJob,review_jobTitle,review_location,industryName,industryId,sectorName,sectorId,exactMatch
2 Sisters Food Group,523766,www.2sfg.com,https://media.glassdoor.com/sqll/523766/2-sister-food-group-squarelogo-1437112433103.png,,,,54,3.0,OK,2.6,2.7,2.2,2.5,49,2.4,Ranjit Singh,CEO,https://media.glassdoor.com/people/sqll/523766/2-sister-food-group-ranjit-singh.png,24.0,65.0,https://www.glassdoor.com/Reviews/Employee-Review-2-Sisters-Food-Group-RVW8734383.htm,8734383.0,Opportunity for training and career growth.,"Night shifts, noisy and due to quality requirements a little bit cold production environment. Nothing else to say about negative side of work there.",4.0,"Longford, Co. Longford (Ireland)",2015-11-24 00:29:59.22,False,Employee,"Longford, Co. Longford (Ireland)",Food & Beverage Manufacturing,200071.0,Manufacturing,10015.0,False
2Source Talent,1839855,www.2sourcetalent.com,https://media.glassdoor.com/sqll/1839855/2source-talent-squarelogo-1508766461080.png,,,,5,4.8,Very Satisfied,4.4,5.0,4.4,5.0,100,5.0,,,,,,,,,,,,,,,,IT Services,200064.0,Information Technology,10013.0,True
Three Ireland,39331,www.three.ie,https://media.glassdoor.com/sqll/39331/3-ireland-squarelogo-1466678081448.png,,,,65,3.2,OK,3.3,3.0,3.4,3.1,57,2.7,Robert Finnegan,CEO,https://media.glassdoor.com/people/sqll/39331/3-ireland-robert-finnegan.png,38.0,63.0,https://www.glassdoor.com/Reviews/Employee-Review-Three-Ireland-RVW20691923.htm,20691923.0,"The people are brilliant, they are always willing to help, share information and offer support. Outside of their day to day, they are all really fun to be around, it makes for a positive environment. 
We enjoy great flexible benefits, so i can choose what I want my package to look like. As well as 27 days holiday and the option to buy five more. Parking on site is really handy and tickets to gigs is such a cool bonus.
Its a busy place to work, my day is always filled but I have the opportunity to get involved in other areas of the business or in projects. My day always flies in.
The industry is really interesting and fast paced too.
Flexible start times mean i finish before five.","Car park is usually packed, if you are first in then there is likely to be someone parked behind you. Its annoying having to call them to move their car, if  you are in a hurry. But to be honest that's being really picky, its great to have parking in the city centre.",5.0,"Dublin, Co. Dublin (Ireland)",2018-05-22 01:07:23.073,True,Employee,"Dublin, Co. Dublin (Ireland)",Telecommunications Services,200122.0,Telecommunications,10023.0,False
3D Personnel,1193024,www.3dpersonnel.com,https://media.glassdoor.com/sqll/1193024/3d-personnel-squarelogo-1495718723364.png,,,,6,2.8,OK,2.5,2.1,2.3,2.3,49,2.8,Damian Doherty,Owner,,3.0,68.0,https://www.glassdoor.com/Reviews/Employee-Review-3D-Personnel-RVW17888261.htm,17888261.0,"Flexible working areas and flexible hours
People in the office are great to communicate with
If you show a desire to work then you receive steasy work","There can be days you are available for work and there is no work
Sometimes moved around too much",3.0,"Dublin, Co. Dublin (Ireland)",2017-11-14 02:21:03.443,True,General Operator,"Dublin, Co. Dublin (Ireland)",Staffing & Outsourcing,200032.0,Business Services,10006.0,True
AAT Technology,1169343,www.aattech.com,,,,,1,5.0,Very Satisfied,5.0,5.0,5.0,5.0,100,5.0,,,,,,,,,,,,,,,,,,,,False
ABB,3076,www.abb.com,https://media.glassdoor.com/sqll/3076/abb-squarelogo-1511427157874.png,,,,2426,3.6,Satisfied,3.6,3.3,3.3,3.6,72,3.0,Ulrich Spiesshofer,Chief Executive Officer,https://media.glassdoor.com/people/sqll/3076/abb-ulrich-spiesshofer.png,731.0,83.0,https://www.glassdoor.com/Reviews/Employee-Review-ABB-RVW15701138.htm,15701138.0,"Great working environment: open, supportive",Low salary and slow paced,4.0,,2017-06-30 08:22:17.303,False,Employee,,Electrical & Electronic Manufacturing,200070.0,Manufacturing,10015.0,True
ABB Optical Group,485895,www.abboptical.com,https://media.glassdoor.com/sqll/485895/abb-concise-optical-group-squarelogo-1424957574841.png,,,,85,3.1,OK,3.2,3.0,3.3,3.0,51,2.9,Angel Alvarez,Chief Executive Officer,,51.0,77.0,,,,,,,,,,,Wholesale,200033.0,Business Services,10006.0,False
ABB Consultant,748075,www.abb-consultant.com,,,,,4,3.9,Satisfied,3.6,3.3,3.9,3.9,100,3.5,,,,,,,,,,,,,,,,Consulting,200028.0,Business Services,10006.0,False
ABB Tropos Wireless Communication Systems,908157,www.tropos.com,,,,,1,5.0,Very Satisfied,5.0,5.0,5.0,5.0,100,5.0,,,,,,,,,,,,,,,,Health Care Services & Hospitals,200059.0,Health Care,10012.0,False
Ventyx,3233,www.abb.com/enterprise-software,https://media.glassdoor.com/sqll/3233/ventyx-squarelogo-1429204569560.png,ABB,3076.0,https://media.glassdoor.com/sql/3076/abb-squarelogo-1511427157874.png,194,2.3,Dissatisfied,2.8,2.3,3.1,2.4,29,2.0,Matthias Heilmann,Product Group Manager,,16.0,12.0,,,,,,,,,,,Computer Hardware & Software,200060.0,Information Technology,10013.0,False
