JobTitle_TechTopic,id,interviewQuestionCount,interviewReviewCount,name,averageOverallDifficulty,overallDifficultyCount,overallExperienceCount,overallPosExperiencePercent,overallPosExperienceCount,overallNeutExperiencePercent,overallNeutExperienceCount,overallNegExperiencePercent,overallNegExperienceCount
ACCOUNT MANAGER,9079,43,39,Google,3.3513513,37,35,82.85715,29,5.714286,2,11.428572,4
ACCOUNT MANAGER,40772,45,34,Facebook,3.3939395,33,33,72.72727,24,9.090909,3,18.181818,6
ACCOUNT MANAGER,100569,8,8,Twitter,3.5,8,7,28.57143,2,0,0,71.42857,5
ACCOUNT MANAGER,1651,6,6,Microsoft,3.3333333,6,6,50,3,16.666668,1,33.333336,2
ACCOUNT MANAGER,5944,7,6,TTEC,2.3333333,6,6,66.66667,4,16.666668,1,16.666668,1
ACCOUNT MANAGER,9848,5,5,PayPal,3.2,5,5,100,5,0,0,0,0
ACCOUNT MANAGER,1327,5,5,Dell,3,5,5,100,5,0,0,0,0
ACCOUNT MANAGER,394648,4,4,Sojern,2.6666667,3,4,50,2,0,0,50,2
ACCOUNT MANAGER,328783,4,4,AdRoll Group,3,4,4,25,1,50,2,25,1
ACCOUNT MANAGER,100431,7,4,Glassdoor,3.25,4,4,75,3,0,0,25,1
Customer service,488033,19,18,Abtran,3.3513513,37,35,82.85715,29,5.714286,2,11.428572,4
Customer service,6036,16,15,Amazon,3.3939395,33,33,72.72727,24,9.090909,3,18.181818,6
Customer service,39834,17,13,Arvato,3.5,8,7,28.57143,2,0,0,71.42857,5
Customer service,7853,27,13,eBay,3.3333333,6,6,50,3,16.666668,1,33.333336,2
Customer service,597988,13,11,Voxpro Communications,2.3333333,6,6,66.66667,4,16.666668,1,16.666668,1
Customer service,703389,11,11,CarTrawler,3.2,5,5,100,5,0,0,0,0
Customer service,1138,12,10,Apple,3,5,5,100,5,0,0,0,0
Customer service,9848,9,9,PayPal,2.6666667,3,4,50,2,0,0,50,2
Customer service,447915,10,9,Viagogo,3,4,4,25,1,50,2,25,1
Customer service,3903,10,8,Sky,3.25,4,4,75,3,0,0,25,1
Customer service representative,39834,17,13,Arvato,3.3513513,37,35,82.85715,29,5.714286,2,11.428572,4
Customer service representative,703389,9,10,CarTrawler,3.3939395,33,33,72.72727,24,9.090909,3,18.181818,6
Customer service representative,7853,21,10,eBay,3.5,8,7,28.57143,2,0,0,71.42857,5
Customer service representative,447915,9,8,Viagogo,3.3333333,6,6,50,3,16.666668,1,33.333336,2
Customer service representative,488033,8,7,Abtran,2.3333333,6,6,66.66667,4,16.666668,1,16.666668,1
Customer service representative,597988,7,6,Voxpro Communications,3.2,5,5,100,5,0,0,0,0
Customer service representative,1138,8,6,Apple,3,5,5,100,5,0,0,0,0
Customer service representative,575263,6,6,Uber,2.6666667,3,4,50,2,0,0,50,2
Customer service representative,8348,7,6,Convergys,3,4,4,25,1,50,2,25,1
Customer service representative,640364,4,4,Smartbox Worldwide,3.25,4,4,75,3,0,0,25,1
